timeStamp,latitude,longitude,significant_wave_height_m,average_wave_period_s,peak_wave_period_s,peak_wave_direction_deg,n_samples,sampling_frequency_hz,sample_gaps
2026-07-05 18:00:00,-37.7481316666667,12.0014016666667,3.5103580860105437,7.887700971161743,11.130434782608695,253.57733311409942,4793,4.0,7
2026-07-05 19:20:00,-37.7483416666667,12.0365016666667,3.2842856760249064,7.692739954314641,11.130434782608695,250.03562113832362,4796,4.0,4
2026-07-05 19:40:00,-37.7482683333333,12.0436066666667,3.9004632328655497,8.056755807760961,11.130434782608695,250.52948574384595,4796,4.0,4
2026-07-05 20:00:00,-37.7481483333333,12.0497683333333,3.53112525437182,7.9602627857042005,10.24,253.63577979365135,4796,4.0,4
2026-07-05 20:20:00,-37.74882,12.0563316666667,3.7142606399985163,7.969686328761948,11.130434782608695,259.99993365354,4793,4.0,7
2026-07-05 20:40:00,-37.749105,12.06532,3.64984341822666,7.808042370765248,10.24,254.41887532429914,4796,4.0,4
2026-07-05 21:00:00,-37.74916,12.0764216666667,3.6049004952879296,7.750299952782731,11.130434782608695,247.38473497328866,4793,4.0,7
2026-07-05 21:20:00,-37.7493333333333,12.0862733333333,3.606971974066473,7.990546882793276,10.24,257.9020094698128,4796,4.0,4
2026-07-05 21:40:00,-37.749205,12.0954433333333,3.6513222420188747,8.120521552567544,10.24,261.04102719786056,4796,4.0,4
2026-07-05 22:00:00,-37.749005,12.10442,3.41385500206117,7.791341522036437,11.130434782608695,260.9989163980425,4793,4.0,7
2026-07-05 22:20:00,-37.74937,12.111885,3.867382749136758,8.425347842475974,11.130434782608695,261.71603741171134,4796,4.0,4
2026-07-05 22:40:00,-37.7492983333333,12.1183566666667,3.768349257663568,8.076664292140688,10.24,260.9776082699326,4796,4.0,4
2026-07-05 23:00:00,-37.74904,12.12446,3.5571775612991954,7.9747884585179625,11.130434782608695,253.18974953894184,4796,4.0,4
2026-07-05 23:20:00,-37.7489,12.1291916666667,3.4119075848515896,7.772962480488509,9.481481481481481,246.0254043183845,4799,4.0,1
2026-07-05 23:40:00,-37.74824,12.1361333333333,3.879017719268069,8.374994099650516,10.24,253.2240465179752,4799,4.0,1
2026-07-06 00:00:00,-37.7478933333333,12.14049,3.3946719749798313,7.845062202920208,9.481481481481481,254.05260932312052,4796,4.0,4
2026-07-06 00:20:00,-37.7474133333333,12.144705,3.6364864768809424,8.20023889451849,11.130434782608695,257.069144740627,4799,4.0,1
2026-07-06 00:40:00,-37.7466066666667,12.1485966666667,3.4763448646648327,8.17156069804246,10.24,252.22993663849087,4796,4.0,4
2026-07-06 01:00:00,-37.745925,12.1527066666667,3.5700028740612137,8.290875535227306,11.130434782608695,254.98385528604052,4796,4.0,4
2026-07-06 01:20:00,-37.7449166666667,12.1579833333333,3.2174490597296956,7.740090464995447,9.481481481481481,257.5054976319507,4799,4.0,1
2026-07-06 01:40:00,-37.74414,12.1623033333333,3.600845714137381,8.394548418459095,11.130434782608695,253.91691378048404,4793,4.0,7
2026-07-06 02:00:00,-37.743545,12.16635,3.732366516377802,8.300859763112737,11.130434782608695,263.4684019614009,4796,4.0,4
2026-07-06 02:20:00,-37.7424883333333,12.170275,3.68268612839716,8.322753247976637,11.130434782608695,245.27950582122406,4796,4.0,4
2026-07-06 02:40:00,-37.7416233333333,12.1731166666667,3.556620841474612,8.34951621022702,11.130434782608695,252.06709949073985,4796,4.0,4
2026-07-06 03:00:00,-37.740075,12.17663,3.5460606294887747,8.317336199932264,11.130434782608695,250.15456047508798,4796,4.0,4
2026-07-06 03:20:00,-37.738775,12.1798783333333,3.404395440845495,8.257022554930005,11.130434782608695,249.1714290284355,4796,4.0,4
2026-07-06 03:40:00,-37.7376166666667,12.1839016666667,3.636409311033125,8.43302919092123,11.130434782608695,249.35726757887932,4799,4.0,1
2026-07-06 04:00:00,-37.73639,12.18412,3.74196834154997,8.30571031190372,11.130434782608695,255.66928819247076,4796,4.0,4
2026-07-06 04:20:00,-37.7355683333333,12.185395,3.2391966755918413,7.713531312982818,9.481481481481481,265.2327104353579,4796,4.0,4
2026-07-06 04:40:00,-37.7346916666667,12.1868216666667,3.558106518454064,8.305816399852809,11.130434782608695,255.07212515188172,4796,4.0,4
2026-07-06 05:00:00,-37.734045,12.1881066666667,3.5776960180674138,8.135031373901935,11.130434782608695,252.74396610476748,4796,4.0,4
2026-07-06 05:20:00,-37.7333566666667,12.1897216666667,3.2928618497738884,7.962650329721015,11.130434782608695,247.86808517963982,4796,4.0,4
2026-07-06 05:40:00,-37.7327,12.1924316666667,3.364227473717545,7.971036536560122,11.130434782608695,249.13090163377092,4793,4.0,7
2026-07-06 06:00:00,-37.7319366666667,12.1960266666667,3.0293348595212772,7.269252610280942,9.481481481481481,261.39622696001123,4796,4.0,4
2026-07-06 06:20:00,-37.7307966666667,12.1983666666667,3.0007006072833042,6.8663280971137395,9.481481481481481,260.71045319888356,4793,4.0,7
2026-07-06 06:40:00,-37.7302566666667,12.1998283333333,3.0505616697756754,7.34854599546112,9.481481481481481,264.41862636966925,4796,4.0,4
2026-07-06 07:00:00,-37.7300883333333,12.201985,3.404239695879175,7.932788058989644,10.24,257.4117129958103,4796,4.0,4
2026-07-06 07:20:00,-37.7302166666667,12.2044066666667,3.435081694949679,7.575408327621862,11.130434782608695,257.4580335349407,4796,4.0,4
2026-07-08 17:20:00,-36.43405,12.1984166666667,2.599371802799554,8.661248991285161,12.19047619047619,211.69047300894135,4793,4.0,7
2026-07-08 17:40:00,-36.4321466666667,12.2044566666667,2.608364230364943,9.162911755905474,12.19047619047619,210.4331968544709,4793,4.0,7
